data.subscription_type,data.username,data.name,data.description,data.profile_banner_url,data.most_recent_tweet_id,data.receives_your_dm,data.verified,data.pinned_tweet_id,data.verified_type,data.profile_image_url,data.url,data.protected,data.id,data.created_at,data.entities.url.urls,data.entities.description.urls,data.public_metrics.followers_count,data.public_metrics.following_count,data.public_metrics.tweet_count,data.public_metrics.listed_count,data.public_metrics.like_count,data.location,data.entities.description.mentions,data.entities.description.hashtags
None,TheFashionLaw,The Fashion Law,"An independent source for fashion, law, business + future • Subscribe to our free weekly newsletter: https://t.co/gPiwDXUSZH",https://pbs.twimg.com/profile_banners/383031509/1675084574,1844726351078543860,False,False,1841851450487374214,none,https://pbs.twimg.com/profile_images/1844361301687951365/U0WZiSlV_normal.jpg,https://t.co/wfm3mf9UwS,False,383031509,2011-10-01T04:17:05.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/wfm3mf9UwS', 'expanded_url': 'http://www.thefashionlaw.com', 'display_url': 'thefashionlaw.com'}]","[{'start': 101, 'end': 124, 'url': 'https://t.co/gPiwDXUSZH', 'expanded_url': 'http://tinyurl.com/NewsTFL', 'display_url': 'tinyurl.com/NewsTFL'}]",106964,39,6657,832,13727,,,
None,Journotopia,Andrew RC Marshall,"Special Correspondent for Reuters • Pulitzer Prize winner • Author of ""The Trouser People: Burma in the Shadow of the Empire"" • DMs open",https://pbs.twimg.com/profile_banners/57094856/1692884499,1823668484770832637,False,False,1500093818699456527,none,https://pbs.twimg.com/profile_images/1186675488464523264/OJVr517B_normal.jpg,https://t.co/BIbwQPZASS,False,57094856,2009-07-15T18:29:04.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/BIbwQPZASS', 'expanded_url': 'https://www.linkedin.com/in/andrewrcmarshall/', 'display_url': 'linkedin.com/in/andrewrcmar…'}]",,33779,3539,12763,1105,870,London,,
None,rjgianfortune,Ross Gianfortune,"Digital journalist/editor. Bylines @washingtonpost, @theatlantic, some zines, etc. 

@rjgianfortune basically everywhere, including bsky, IG, whatever.",https://pbs.twimg.com/profile_banners/17089654/1692726670,1844857079410065872,False,False,,none,https://pbs.twimg.com/profile_images/1711749244397158400/hZiPmHZc_normal.jpg,https://t.co/qYuyChZqoJ,True,17089654,2008-10-31T18:28:46.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/qYuyChZqoJ', 'expanded_url': 'https://rjgianfortune.substack.com/', 'display_url': 'rjgianfortune.substack.com'}]",,1285,1921,57337,51,130212,"Arboretum, DC","[{'start': 35, 'end': 50, 'username': 'washingtonpost'}, {'start': 52, 'end': 64, 'username': 'theatlantic'}, {'start': 85, 'end': 99, 'username': 'rjgianfortune'}]",
None,jacobresneck,@jacobresneck@journa.host,"| @Report4America corps member | @WisconsinWatch; ex-@CoastAlaska | @signalapp +1-707-874-8704 | Views not mine, stolen from others | @jacobresneck@journa.host",https://pbs.twimg.com/profile_banners/15150630/1651257410,1603880497641574401,False,False,1589741010112090112,none,https://pbs.twimg.com/profile_images/1520110330629615616/YqGie0Y8_normal.jpg,https://t.co/Sg8NTzbijk,False,15150630,2008-06-17T21:24:23.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/Sg8NTzbijk', 'expanded_url': 'http://jacobresneck.com', 'display_url': 'jacobresneck.com'}]",,1480,3771,1915,39,2661,Meskousing,"[{'start': 2, 'end': 17, 'username': 'Report4America'}, {'start': 33, 'end': 48, 'username': 'WisconsinWatch'}, {'start': 53, 'end': 65, 'username': 'CoastAlaska'}, {'start': 68, 'end': 78, 'username': 'signalapp'}]",
None,DarianWoods,Darian Woods,Co-hosting @TheIndicator from @PlanetMoney,https://pbs.twimg.com/profile_banners/73311532/1388573983,1842346790353584373,False,False,,none,https://pbs.twimg.com/profile_images/1731118957782786048/CfxdHnJW_normal.jpg,https://t.co/KWMKnCr3iX,False,73311532,2009-09-11T04:47:45.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/KWMKnCr3iX', 'expanded_url': 'https://www.npr.org/indicator', 'display_url': 'npr.org/indicator'}]",,2711,1202,1145,0,7001,"New York, NY","[{'start': 11, 'end': 24, 'username': 'TheIndicator'}, {'start': 30, 'end': 42, 'username': 'PlanetMoney'}]",
None,Terrortola,Andrew Tarantola,I'm just here so I don't get fined. Find me posting  on @terrortola.bsky.social and @terrortola@masto.ai,https://pbs.twimg.com/profile_banners/139920911/1648958618,1665836960928395265,False,False,1593384214396735488,none,https://pbs.twimg.com/profile_images/1256809892293140481/AqPCsup2_normal.jpg,,True,139920911,2010-05-04T02:03:17.000Z,,,4039,1640,28,204,38780,,"[{'start': 56, 'end': 67, 'username': 'terrortola'}]",
None,CarolynBick,CE Bick,"@SoSeaEmerald #policeaccountability reporter. #covidisnotover - on Twitter break Aug. 14, 2022-? (see pinned tweet)
The whale: cebick",https://pbs.twimg.com/profile_banners/625847199/1585533175,1652070579665772544,False,False,1558698827623702529,none,https://pbs.twimg.com/profile_images/1549201981390016512/cdlflvZM_normal.jpg,https://t.co/7FDFEYIB6U,False,625847199,2012-07-03T18:17:18.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/7FDFEYIB6U', 'expanded_url': 'http://clippings.me/carolynbick', 'display_url': 'clippings.me/carolynbick'}]",,1733,1621,6612,32,20185,,"[{'start': 0, 'end': 13, 'username': 'SoSeaEmerald'}]","[{'start': 14, 'end': 35, 'tag': 'policeaccountability'}, {'start': 46, 'end': 61, 'tag': 'covidisnotover'}]"
None,b_fung,Brian Fung,"Tech reporter for @CNN. I try to make public policy relevant to you. Past: @WashingtonPost

Mastodon: @b_fung@masto.ai
Bluesky: https://t.co/JTVswBpl7m",https://pbs.twimg.com/profile_banners/18580432/1412562204,1811768135365612002,False,False,1676744382647607297,none,https://pbs.twimg.com/profile_images/1239336117536804868/VYrPMj2f_normal.jpg,https://t.co/SKBUweICVe,False,18580432,2009-01-03T15:15:57.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/SKBUweICVe', 'expanded_url': 'http://brianfung.me', 'display_url': 'brianfung.me'}]","[{'start': 128, 'end': 151, 'url': 'https://t.co/JTVswBpl7m', 'expanded_url': 'http://bsky.app/profile/brianfung.me', 'display_url': 'bsky.app/profile/brianf…'}]",33998,2690,6822,1477,7593,"Washington, D.C.","[{'start': 18, 'end': 22, 'username': 'CNN'}, {'start': 75, 'end': 90, 'username': 'WashingtonPost'}]",
None,brianfagioli,Brian Fagioli,Technology journalist for @BetaNews,https://pbs.twimg.com/profile_banners/121525054/1728521827,1844794938858332321,False,False,1840065599629566050,none,https://pbs.twimg.com/profile_images/1840062300666949632/dYRLI8_w_normal.jpg,,False,121525054,2010-03-09T19:37:43.000Z,,,3135,40,817,354,21354,Long Island,"[{'start': 26, 'end': 35, 'username': 'BetaNews'}]",
None,IzzieRamirez,Izzie Ramirez,"deputy editor, future perfect @voxdotcom • i cover consumerism, fashion & food systems, identity • izzie.ramirez@voxmedia.com • she/her 🇲🇽🇵🇷",https://pbs.twimg.com/profile_banners/3015995300/1711812412,1844835762014929224,False,False,1610643285613383680,none,https://pbs.twimg.com/profile_images/1789389006829920256/2yeJQmPR_normal.jpg,https://t.co/HxY8D9M1dr,False,3015995300,2015-02-10T01:14:56.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/HxY8D9M1dr', 'expanded_url': 'http://izzieramirez.com', 'display_url': 'izzieramirez.com'}]",,6635,4580,10097,71,76645,DMV 🚘 DFW 🚀 NYC,"[{'start': 30, 'end': 40, 'username': 'voxdotcom'}]",
