Node ID,acct,"Centrality, In-Degree","Centrality, Out-Degree","Centrality, Total-Degree","Centrality, Total-Degree_normalized",Component ID,"Density, Clustering Coefficient",discipline,field,server
109289078951237020,hdm@infosec.exchange,25,93,118,0.007829087,0,0.062220927,Information security,Physical Sciences and Mathematics,infosec.exchange
109297354450052015,areino@laterracita.online,10,72,82,0.005440552,0,0.11693694,Information security,Physical Sciences and Mathematics,laterracita.online
1133139,tcely@fosstodon.org,16,144,160,0.010615711,0,0.13462953,Information security,Physical Sciences and Mathematics,fosstodon.org
30876,HalvarFlake,144,20,164,0.010881104,0,0.04062995,Information security,Physical Sciences and Mathematics,mastodon.social
109245832526032961,wtfpdf,25,5,30,0.001990446,0,0.07666667,Information security,Physical Sciences and Mathematics,mastodon.social
109246223497667477,leotanczt,242,300,542,0.035960723,0,0.060569506,Information security,Physical Sciences and Mathematics,mastodon.social
1350479,yawnbox@disobey.net,37,193,230,0.0152600845,0,0.11335821,Information security,Physical Sciences and Mathematics,disobey.net
109295037949683058,DuncanHollis@ioc.exchange,30,10,40,0.0026539278,0,0.33529413,Information security,Physical Sciences and Mathematics,ioc.exchange
108218038302597822,matthew_d_green@ioc.exchange,69,27,96,0.006369427,0,0.115003414,Information security,Physical Sciences and Mathematics,ioc.exchange
109297031548661210,gcluley@mastodon.green,33,13,46,0.003052017,0,0.17926829,Information security,Physical Sciences and Mathematics,mastodon.green
109284191270188393,thegrugq@infosec.exchange,46,6,52,0.0034501061,0,0.15633672,Information security,Physical Sciences and Mathematics,infosec.exchange
109246100344232413,tallison,27,21,48,0.0031847134,0,0.08558559,Information security,Physical Sciences and Mathematics,mastodon.social
109309455291126317,andraste@infosec.exchange,6,9,15,9.95223E-4,0,0.1969697,Information security,Physical Sciences and Mathematics,infosec.exchange
108255036824909071,helma,31,38,69,0.0045780255,0,0.07355442,Information security,Physical Sciences and Mathematics,mastodon.social
109244562005029602,ericfreyss,104,333,437,0.028994162,0,0.022861462,Information security,Physical Sciences and Mathematics,mastodon.social
109300332482673426,leune@infosec.exchange,2,3,5,3.3174097E-4,0,0.41666666,Information security,Physical Sciences and Mathematics,infosec.exchange
109304584877181295,infosecsidekick@infosec.exchange,4,4,8,5.307856E-4,0,0.2,Information security,Physical Sciences and Mathematics,infosec.exchange
108195040307698081,JohnTimaeus,0,20,20,0.0013269639,0,0.09210526,Information security,Physical Sciences and Mathematics,mastodon.social
108136968771416517,sundhaug92,34,49,83,0.0055069,0,0.11185516,Information security,Physical Sciences and Mathematics,mastodon.social
1333539,robpomeroy@infosec.exchange,4,7,11,7.298301E-4,0,0.43055555,Information security,Physical Sciences and Mathematics,infosec.exchange
35711,xntrik,31,38,69,0.0045780255,0,0.10222017,Information security,Physical Sciences and Mathematics,mastodon.social
109244189816415849,tychotithonus@infosec.exchange,13,53,66,0.004378981,0,0.19448052,Information security,Physical Sciences and Mathematics,infosec.exchange
109298169597226078,fullyabstract@fosstodon.org,8,5,13,8.6252653E-4,0,0.26666668,Information security,Physical Sciences and Mathematics,fosstodon.org
109308564036468228,duanegran@infosec.exchange,4,1,5,3.3174097E-4,0,0.35,Information security,Physical Sciences and Mathematics,infosec.exchange
109294462567145248,chrisabides@infosec.exchange,7,3,10,6.6348194E-4,0,0.18055555,Information security,Physical Sciences and Mathematics,infosec.exchange
109282943372216681,bknudtson@vmst.io,3,5,8,5.307856E-4,0,0.52380955,Information security,Physical Sciences and Mathematics,vmst.io
109288088819516197,lizrice@hachyderm.io,7,3,10,6.6348194E-4,0,0.32142857,Information security,Physical Sciences and Mathematics,hachyderm.io
44353,__db__,13,44,57,0.0037818472,0,0.09142857,Information security,Physical Sciences and Mathematics,mastodon.social
38686,kennwhite,125,69,194,0.012871549,0,0.0803938,Information security,Physical Sciences and Mathematics,mastodon.social
109254091885020084,thypon,30,8,38,0.0025212315,0,0.035632186,Information security,Physical Sciences and Mathematics,mastodon.social
109303608744343242,miri@infosec.exchange,3,8,11,7.298301E-4,0,0.44444445,Information security,Physical Sciences and Mathematics,infosec.exchange
109302948637498790,ndurner@infosec.exchange,4,4,8,5.307856E-4,0,0.16666667,Information security,Physical Sciences and Mathematics,infosec.exchange
109285081825400642,DJWhite@mastodon.world,11,21,32,0.0021231424,0,0.13636364,Information security,Physical Sciences and Mathematics,mastodon.world
108201410427250927,benheise@infosec.exchange,12,43,55,0.0036491507,0,0.19516908,Information security,Physical Sciences and Mathematics,infosec.exchange
1215158,fluffy@social.handholding.io,2,0,2,1.326964E-4,1,0.5,Information security,Physical Sciences and Mathematics,social.handholding.io
109364317481533470,simonmigliano@infosec.exchange,13,71,84,0.0055732485,0,0.13004102,Information security,Physical Sciences and Mathematics,infosec.exchange
109322468991171484,vanhoefm@infosec.exchange,12,17,29,0.0019240977,0,0.18614718,Information security,Physical Sciences and Mathematics,infosec.exchange
109296913538193046,siggib@infosec.exchange,4,28,32,0.0021231424,0,0.22536945,Information security,Physical Sciences and Mathematics,infosec.exchange
108217107404371302,dragosr@chaos.social,4,12,16,0.0010615712,0,0.23076923,Information security,Physical Sciences and Mathematics,chaos.social
109302642760478055,pixelnull@infosec.exchange,2,3,5,3.3174097E-4,0,0.5,Information security,Physical Sciences and Mathematics,infosec.exchange
109267847779265827,swiefling@hci.social,6,3,9,5.9713377E-4,0,0.26666668,Information security,Physical Sciences and Mathematics,hci.social
107048634337213099,kravietz@agora.echelon.pl,6,6,12,7.9617836E-4,0,0.21818182,Information security,Physical Sciences and Mathematics,agora.echelon.pl
108193667949380311,tek@todon.eu,14,26,40,0.0026539278,0,0.18983957,Information security,Physical Sciences and Mathematics,todon.eu
109271660766892449,jarrodfrates@infosec.exchange,2,5,7,4.6443735E-4,0,0.1904762,Information security,Physical Sciences and Mathematics,infosec.exchange
587702,Xavier@infosec.exchange,10,37,47,0.003118365,0,0.14844805,Information security,Physical Sciences and Mathematics,infosec.exchange
